metric,sampler,frac,theta,mean_sampled,bias_rel,var_rel,nd,graph_id,graph_seed
assortativity,snowball,0.1,-0.10066972972115146,-0.38674660157255525,-2.8417085347827524,0.6355506178508059,2.91191208392487,2,102
avg_path,snowball,0.1,3.375084480600751,3.035340896667179,-0.1006622160790722,0.08603801661943572,0.13242138063679942,2,102
modularity,snowball,0.1,0.3881034081346105,0.4643638181522427,0.19649457315924637,0.12417011991031233,0.23243996205380815,2,102
clustering,snowball,0.2,0.0202274050691103,0.04577118969140706,1.2627680993645556,0.37410502469013746,1.317018542872947,2,102
assortativity,snowball,0.2,-0.10066972972115146,-0.32149908565309965,-2.1935805625291973,0.48059879902856095,2.245611473504178,2,102
avg_path,snowball,0.2,3.375084480600751,2.939874213836479,-0.12894792421281326,0.056004878701550825,0.14058489818315784,2,102
modularity,snowball,0.2,0.3881034081346105,0.436886716291486,0.12569635163730347,0.05705457151373283,0.13803911382482972,2,102
clustering,snowball,0.3,0.0202274050691103,0.038307764302738405,0.8938104201422008,0.1849946593849983,0.9127541241515971,2,102
assortativity,snowball,0.3,-0.10066972972115146,-0.2692890100196788,-1.6749583594515214,0.3582065923705747,1.7128331701348707,2,102
avg_path,snowball,0.3,3.375084480600751,3.0122046722454674,-0.10751722006480632,0.039073471782204966,0.11439706642907746,2,102
modularity,snowball,0.3,0.3881034081346105,0.4273064081946672,0.10101147845365241,0.03643103010888952,0.10738034612622321,2,102
clustering,degree_weighted,0.05,0.0202274050691103,0.08039242961161186,2.97428414830274,3.4394098846653587,4.547076703727212,2,102
assortativity,degree_weighted,0.05,-0.10066972972115146,-0.2708171238215742,-1.6901376852210683,1.510765899656752,2.266931626355349,2,102
avg_path,degree_weighted,0.05,3.375084480600751,2.9028236181019342,-0.1399256004664973,0.12562555115382756,0.1880450817453431,2,102
modularity,degree_weighted,0.05,0.3881034081346105,0.5364507486298439,0.38223564944353966,0.2335312640038833,0.44792961832499534,2,102
clustering,degree_weighted,0.1,0.0202274050691103,0.07543215699543061,2.729070914771253,1.7034430790515516,3.217071087405287,2,102
assortativity,degree_weighted,0.1,-0.10066972972115146,-0.18921474438571462,-0.879550738430372,0.9359188286365666,1.284349467734485,2,102
avg_path,degree_weighted,0.1,3.375084480600751,3.3880717722245555,0.0038479889467844934,0.0833440870353271,0.0834328703970249,2,102
modularity,degree_weighted,0.1,0.3881034081346105,0.5490720946433968,0.4147561407057139,0.1676924386656666,0.44737390428894747,2,102
clustering,degree_weighted,0.2,0.0202274050691103,0.06117945197439994,2.0244822449114035,0.6009277793878848,2.111786579179243,2,102
assortativity,degree_weighted,0.2,-0.10066972972115146,-0.1543397900720432,-0.5331247771775651,0.3478475639798312,0.6365688932137128,2,102
avg_path,degree_weighted,0.2,3.375084480600751,3.495441220231671,0.03566035299630314,0.04257092312090805,0.055533271749350493,2,102
modularity,degree_weighted,0.2,0.3881034081346105,0.5009446087141372,0.29074959782571896,0.07003858409835716,0.29906643392116067,2,102
clustering,degree_weighted,0.3,0.0202274050691103,0.049906740341265104,1.4672108438977476,0.21755353407508105,1.4832522376992048,2,102
assortativity,degree_weighted,0.3,-0.10066972972115146,-0.12811501870285139,-0.27262431749249083,0.23803532016646947,0.36191826720269327,2,102
avg_path,degree_weighted,0.3,3.375084480600751,3.4555533348321954,0.023842019615195446,0.024619738981880003,0.03427205052031854,2,102
modularity,degree_weighted,0.3,0.3881034081346105,0.4669061946502204,0.2030453271437151,0.03743605824372842,0.2064675842153584,2,102
clustering,edge_uniform,0.05,0.0202274050691103,0.06416985175356095,2.1723139582345405,2.6205469864527084,3.403852881860053,2,102
assortativity,edge_uniform,0.05,-0.10066972972115146,0.05745810428607128,1.57074290059506,1.2615338948892991,2.0146218076165927,2,102
avg_path,edge_uniform,0.05,3.375084480600751,3.696018689094538,0.09508920895143136,0.16102759784648796,0.18700760660256371,2,102
modularity,edge_uniform,0.05,0.3881034081346105,0.6317003066292294,0.6276581594768426,0.2061494870735087,0.6606454239442882,2,102
clustering,edge_uniform,0.1,0.0202274050691103,0.07659404031372795,2.7865091218037783,1.5352225973739877,3.1814370195531763,2,102
assortativity,edge_uniform,0.1,-0.10066972972115146,-0.022496136099110005,0.7765275352485775,0.678582273239182,1.031246291898151,2,102
avg_path,edge_uniform,0.1,3.375084480600751,3.734276843238189,0.10642467122743904,0.09458788982684027,0.14238356487938825,2,102
modularity,edge_uniform,0.1,0.3881034081346105,0.5576555953284016,0.43687261376063397,0.15068514068271294,0.4621295189409751,2,102
clustering,edge_uniform,0.2,0.0202274050691103,0.06114706247774878,2.0228810560613435,0.5341193004131607,2.0922072540849537,2,102
assortativity,edge_uniform,0.2,-0.10066972972115146,-0.07076250576397647,0.297079638143234,0.35381706605694974,0.4619987312022218,2,102
avg_path,edge_uniform,0.2,3.375084480600751,3.5385555966548616,0.048434659505279705,0.03663859233800359,0.06073139789188783,2,102
modularity,edge_uniform,0.2,0.3881034081346105,0.48656331916936485,0.253694389888518,0.04952215521349062,0.2584826634764824,2,102
clustering,edge_uniform,0.3,0.0202274050691103,0.04861541955820216,1.403373839514498,0.2614521928548272,1.4275207117874897,2,102
assortativity,edge_uniform,0.3,-0.10066972972115146,-0.08604644740444314,0.1452585310269772,0.2504515019442166,0.2895271933035466,2,102
avg_path,edge_uniform,0.3,3.375084480600751,3.4517406923556195,0.022712376381419562,0.023249159037428708,0.032501929740231084,2,102
modularity,edge_uniform,0.3,0.3881034081346105,0.45541543733928613,0.1734379403939393,0.03746185043041526,0.17743762116801062,2,102
clustering,random_node,0.05,0.023017073697860383,0.0027500000000000003,-0.8804852206092417,0.9248800503318938,1.276971938302965,3,103
assortativity,random_node,0.05,-0.06010904881861515,-0.3116152444548776,-4.1840956808269105,3.8399200952794894,5.67905300243321,3,103
avg_path,random_node,0.05,3.451645807259074,1.4935281385281387,-0.5672995465853765,0.11989627608970788,0.5798309172303192,3,103
modularity,random_node,0.05,0.39257551451569483,0.6032207195681153,0.536571081722208,0.5164729499343522,0.7447501821110434,3,103
clustering,random_node,0.1,0.023017073697860383,0.0065224379105518655,-0.7165949681029024,0.9716348768629751,1.2073038897671657,3,103
assortativity,random_node,0.1,-0.06010904881861515,-0.16951949064479688,-1.8201689064724067,2.328484120402989,2.9554784971401564,3,103
avg_path,random_node,0.1,3.451645807259074,2.4993418395112137,-0.27589843947680076,0.21501893000748445,0.3497900644204998,3,103
modularity,random_node,0.1,0.39257551451569483,0.8079749442625109,1.058136221570149,0.180613124551659,1.073439967654952,3,103
clustering,random_node,0.2,0.023017073697860383,0.021039291701667025,-0.08592300216578073,0.8084027422044957,0.8129561832626215,3,103
assortativity,random_node,0.2,-0.06010904881861515,-0.08681772562657067,-0.4443296475860497,1.2444288949366984,1.321375083115054,3,103
avg_path,random_node,0.2,3.451645807259074,5.180694361449747,0.5009343802368057,0.26894467715816817,0.5685652932381152,3,103
modularity,random_node,0.2,0.39257551451569483,0.7932526082621115,1.0206343959233406,0.12174866616111064,1.027870277736355,3,103
clustering,random_node,0.3,0.023017073697860383,0.02020361802159677,-0.1222281114046974,0.49898659067320106,0.5137385803005492,3,103
assortativity,random_node,0.3,-0.06010904881861515,-0.08115404999476392,-0.3501078703105536,0.80953703938445,0.8820009858207257,3,103
avg_path,random_node,0.3,3.451645807259074,5.480224761258341,0.5877133632945908,0.2338851005162585,0.6325418860743848,3,103
modularity,random_node,0.3,0.39257551451569483,0.7405142933531441,0.8862954506249228,0.12131734030629089,0.89455996045957,3,103
clustering,snowball,0.05,0.023017073697860383,0.10087531284873438,3.3824828338311916,2.2563130232523108,4.065973263569335,3,103
assortativity,snowball,0.05,-0.06010904881861515,-0.426739634818965,-6.0993227123583695,2.0573369977310416,6.43695371054691,3,103
avg_path,snowball,0.05,3.451645807259074,3.2937060805195055,-0.04575778912471843,0.13270080135864337,0.14036836519247606,3,103
modularity,snowball,0.05,0.39257551451569483,0.5145006445419038,0.31057672967681954,0.1922377715117063,0.365257807325915,3,103
clustering,snowball,0.1,0.023017073697860383,0.07485185593012139,2.2519165987846868,0.8713259643630898,2.4146091410527006,3,103
assortativity,snowball,0.1,-0.06010904881861515,-0.37382799714858733,-5.2190765852916465,1.190087031732849,5.353042830600015,3,103
avg_path,snowball,0.1,3.451645807259074,3.1237589348061436,-0.0949943290151702,0.08710378280094541,0.12888363559147717,3,103
modularity,snowball,0.1,0.39257551451569483,0.47742937461261087,0.21614604276976854,0.10757215041316172,0.24143504167693328,3,103
clustering,snowball,0.2,0.023017073697860383,0.05481714905044522,1.3815263505538593,0.33299461712696043,1.421091296261502,3,103
assortativity,snowball,0.2,-0.06010904881861515,-0.2812964751563145,-3.6797079803601993,0.6798281752352693,3.741980380569927,3,103
avg_path,snowball,0.2,3.451645807259074,3.0600794025157243,-0.11344335808630705,0.0512138901496996,0.12446789962943693,3,103
modularity,snowball,0.2,0.39257551451569483,0.45684334036744223,0.16370777027003747,0.044730131436244415,0.16970862884688884,3,103
clustering,snowball,0.3,0.023017073697860383,0.04528090072609224,0.9672324157299645,0.19266049807388275,0.9862335491945604,3,103
assortativity,snowball,0.3,-0.06010904881861515,-0.23958184621343132,-2.9857370094039286,0.53150065934251,3.0326751293545833,3,103
avg_path,snowball,0.3,3.451645807259074,3.132756973500698,-0.09238744621487015,0.03799695792725171,0.09989599105985615,3,103
modularity,snowball,0.3,0.39257551451569483,0.44602163604007794,0.13614192277986203,0.031904782131393375,0.13983039104947678,3,103
clustering,degree_weighted,0.05,0.023017073697860383,0.08452978073479159,2.6723655438921043,4.248904625869099,5.019435039913713,3,103
assortativity,degree_weighted,0.05,-0.06010904881861515,-0.22829649147283795,-2.7979921154570375,3.415691437744007,4.415394419079395,3,103
avg_path,degree_weighted,0.05,3.451645807259074,2.6414826509382356,-0.2347178612298929,0.17485047664186573,0.29268611781603665,3,103
modularity,degree_weighted,0.05,0.39257551451569483,0.5793978808837568,0.475887781006301,0.2879974590922562,0.5562478912811237,3,103
clustering,degree_weighted,0.1,0.023017073697860383,0.08529979759106533,2.705818250073392,1.6517759468189555,3.1701445047378978,3,103
assortativity,degree_weighted,0.1,-0.06010904881861515,-0.12812530929689048,-1.131528950899999,1.5294625160868576,1.9025281482384415,3,103
avg_path,degree_weighted,0.1,3.451645807259074,3.590185346291215,0.040137229203400016,0.12312644761891324,0.12950335621666048,3,103
modularity,degree_weighted,0.1,0.39257551451569483,0.5727552949664728,0.4589672937339571,0.14537298603667945,0.48143980079205445,3,103
clustering,degree_weighted,0.2,0.023017073697860383,0.0711353027016082,2.090454207218069,0.5752905212260456,2.168169268366347,3,103
assortativity,degree_weighted,0.2,-0.06010904881861515,-0.0927370546974315,-0.5428045147205397,0.649669161831797,0.8465853536627186,3,103
avg_path,degree_weighted,0.2,3.451645807259074,3.633816561812387,0.052777924488158656,0.045401477938296714,0.06961898815883079,3,103
modularity,degree_weighted,0.2,0.39257551451569483,0.5279517370189806,0.3448403495820266,0.07049719571983785,0.35197261442364436,3,103
clustering,degree_weighted,0.3,0.023017073697860383,0.057499853951441596,1.4980741093372432,0.24243348103536455,1.5175638470237418,3,103
assortativity,degree_weighted,0.3,-0.06010904881861515,-0.07183095622080639,-0.1950074510430466,0.4670528598604763,0.5061287186735761,3,103
avg_path,degree_weighted,0.3,3.451645807259074,3.5874397999689576,0.03934179836253775,0.02523122130910157,0.04673747561804594,3,103
modularity,degree_weighted,0.3,0.39257551451569483,0.49080937531539964,0.2502285724373803,0.038029767150008865,0.2531019590076955,3,103
