metric,sampler,frac,theta,mean_sampled,bias_rel,var_rel,nd,graph_type,graph_id,graph_seed
assortativity,snowball,0.1,0.025736630445322463,-0.4601613358570569,-18.878892807736545,1.846002769205122,18.968930382863437,SBM,0,4000
avg_path,snowball,0.1,2.9643523153942426,3.5135791139240506,0.1852771043443463,0.062169653994759835,0.19542945344050355,SBM,0,4000
modularity,snowball,0.1,0.5006110472627847,0.5599160163562678,0.1184649259196758,0.07490390766470316,0.14015895995831537,SBM,0,4000
clustering,snowball,0.2,0.03345219388371812,0.058909737871375725,0.76098993944037,0.281933488423307,0.8115369244981974,SBM,0,4000
assortativity,snowball,0.2,0.025736630445322463,-0.26694634465151423,-11.371791809608048,2.0186694784534334,11.549574685862167,SBM,0,4000
avg_path,snowball,0.2,2.9643523153942426,3.3123529874213835,0.11739513985054738,0.04042396202316419,0.12416004013441602,SBM,0,4000
modularity,snowball,0.2,0.5006110472627847,0.46915154410905807,-0.06284208165931872,0.08151569979128469,0.10292685043145608,SBM,0,4000
clustering,snowball,0.3,0.03345219388371812,0.050658055677063774,0.5143264303298662,0.14125734402351153,0.533371647330864,SBM,0,4000
assortativity,snowball,0.3,0.025736630445322463,-0.15553912283714838,-7.043218437205269,2.2563703894081244,7.395818635444354,SBM,0,4000
avg_path,snowball,0.3,2.9643523153942426,3.260793933054393,0.10000212057068009,0.024216489042476242,0.10289248009537534,SBM,0,4000
modularity,snowball,0.3,0.5006110472627847,0.446327055485199,-0.10843524856102907,0.06617656332629616,0.12703362021201883,SBM,0,4000
clustering,degree_weighted,0.05,0.03345219388371812,0.03681462345703832,0.10051146640909285,3.131869663035023,3.1334821111853843,SBM,0,4000
assortativity,degree_weighted,0.05,0.025736630445322463,-0.10002486656538294,-4.8862888632221075,10.201458394164973,11.311302852577477,SBM,0,4000
avg_path,degree_weighted,0.05,2.9643523153942426,2.188576963799874,-0.26170137937528365,0.2413351899859332,0.35599197447761743,SBM,0,4000
modularity,degree_weighted,0.05,0.5006110472627847,0.7709791310729918,0.5400750646903301,0.14439972011623411,0.5590459325224636,SBM,0,4000
clustering,degree_weighted,0.1,0.03345219388371812,0.03382779457766835,0.011227648255524013,1.109505692021312,1.1095624996876203,SBM,0,4000
assortativity,degree_weighted,0.1,0.025736630445322463,-0.023461183635972573,-1.9115129571003768,5.212237541152499,5.5516936128142085,SBM,0,4000
avg_path,degree_weighted,0.1,2.9643523153942426,5.612973034017022,0.8934902276554465,0.4127401955972027,0.9842150455959301,SBM,0,4000
modularity,degree_weighted,0.1,0.5006110472627847,0.7695348416882354,0.5371900174912997,0.0882224461104171,0.5443861817588763,SBM,0,4000
clustering,degree_weighted,0.2,0.03345219388371812,0.03824889655394954,0.14338549218662233,0.43114440326524656,0.4543620757023472,SBM,0,4000
assortativity,degree_weighted,0.2,0.025736630445322463,0.011931767459369412,-0.5363688399862753,2.445356055869855,2.5034891197062543,SBM,0,4000
avg_path,degree_weighted,0.2,2.9643523153942426,4.887539361812023,0.6487711962101277,0.09640323903119886,0.6558945414680827,SBM,0,4000
modularity,degree_weighted,0.2,0.5006110472627847,0.622175206089629,0.24283106947091096,0.05425080177255693,0.24881735830394078,SBM,0,4000
clustering,degree_weighted,0.3,0.03345219388371812,0.03867091981826393,0.15600082768437235,0.19940875298155594,0.2531799932930492,SBM,0,4000
assortativity,degree_weighted,0.3,0.025736630445322463,0.007550585940202057,-0.7065935826437171,2.014737723174985,2.1350509558831625,SBM,0,4000
avg_path,degree_weighted,0.3,2.9643523153942426,4.012476930001604,0.3535761439651355,0.03013590955681583,0.3548580880099407,SBM,0,4000
modularity,degree_weighted,0.3,0.5006110472627847,0.5283163373255989,0.055342835263952284,0.03845050639652091,0.06738895204113102,SBM,0,4000
clustering,edge_uniform,0.05,0.03345219388371812,0.04321368896522196,0.2917956089763621,1.816998811351476,1.8402796955546084,SBM,0,4000
assortativity,edge_uniform,0.05,0.025736630445322463,0.21964894427800183,7.53419450343848,5.52612499431687,9.343561647918648,SBM,0,4000
